Pagecount,INTcount,EXTcount,URLfragments,timestamp
1,60,108,18,2021-11-13T15:04:47Z
2,228,216,93,2021-12-04T04:18:13Z
3,67,160,4,2021-10-05T18:32:31Z
4,799,375,173,2021-11-28T04:18:17Z
5,72,106,8,2021-11-10T08:50:11Z
6,56,50,4,2020-04-01T12:01:22Z
7,523,350,149,2021-08-15T16:46:42Z
8,68,100,12,2021-08-26T16:39:41Z
9,126,160,4,2021-06-01T10:49:16Z
10,66,56,6,2020-11-27T20:09:06Z
11,324,107,20,2021-11-13T15:33:56Z
12,39,24,4,2021-11-13T15:31:05Z
13,59,96,10,2021-08-15T07:55:57Z
14,48,96,2,2018-12-12T13:29:46Z
15,125,196,34,2021-09-28T07:42:51Z
16,44,102,2,2021-05-13T05:44:13Z
17,38,71,2,2021-09-03T15:59:32Z
18,45,108,6,2018-12-02T08:43:09Z
19,81,12,2,
20,70,90,2,
21,93,242,10,
22,45,175,2,
23,168,207,2,2021-08-20T20:05:40Z
24,81,227,6,
25,365,283,18,
26,413,21,2,
27,84,43,2,2021-07-13T12:46:20Z
28,90,206,2,
29,188,13,2,
30,108,13,2,
31,148,12,2,
32,23,12,2,
33,30,24,2,
34,92,17,2,
35,61,108,18,2021-11-13T15:04:47Z
36,24,147,11,
37,111,150,25,2021-09-13T22:50:33Z
38,41,126,7,
39,98,162,2,2021-10-23T17:31:00Z
40,85,152,7,2021-09-25T06:19:34Z
41,132,146,14,2021-09-09T10:17:27Z
42,81,119,2,2021-10-01T12:16:56Z
43,342,269,79,2021-11-24T15:35:10Z
44,127,140,44,2021-08-23T16:17:40Z
45,71,117,2,2021-10-07T16:58:27Z
46,174,151,16,2021-11-10T17:46:10Z
47,55,97,2,2021-07-22T05:46:32Z
48,102,119,11,2021-08-26T07:31:02Z
49,167,153,39,2021-11-26T19:08:38Z
50,71,121,2,2021-12-05T05:26:59Z
51,522,239,53,2021-08-25T11:18:43Z
52,285,234,50,2021-10-29T13:17:57Z
53,796,281,187,2021-05-11T09:52:54Z
54,74,92,14,2021-12-05T08:35:18Z
55,314,264,58,2021-11-24T16:01:04Z
56,97,126,23,2021-04-30T07:26:24Z
57,49,71,4,2019-03-13T10:21:50Z
58,100,163,14,2021-09-26T09:00:00Z
59,44,57,10,2020-09-24T11:01:09Z
60,55,99,2,2021-10-16T23:55:28Z
61,73,153,10,2021-11-24T16:07:58Z
62,57,108,2,2021-11-01T17:31:57Z
63,109,193,28,2021-11-05T13:29:20Z
64,69,112,6,2021-11-18T11:25:14Z
65,167,204,19,2021-10-12T23:28:21Z
66,174,208,8,2021-11-30T22:33:34Z
67,62,112,12,2021-05-12T00:19:36Z
68,178,178,17,2021-10-20T05:55:13Z
69,368,189,113,2021-09-30T04:49:51Z
70,40,96,2,2021-08-19T02:09:38Z
71,66,102,2,2020-12-11T12:22:15Z
72,46,70,4,2021-11-15T19:42:29Z
73,105,116,14,2021-11-30T07:27:56Z
74,126,146,20,2020-02-04T19:41:48Z
75,49,24,8,2021-04-15T04:21:20Z
