Pagecount,INTcount,EXTcount,URLfragments,timestamp
1,64,108,18,2022-03-30T13:37:35Z
2,223,218,94,2022-04-01T12:43:10Z
3,282,164,4,2022-03-01T18:59:38Z
4,810,401,173,2022-03-31T17:22:06Z
5,56,51,4,2020-04-01T12:01:22Z
6,77,107,11,2022-03-31T07:52:41Z
7,532,389,149,2022-02-24T23:08:54Z
8,68,101,12,2021-08-26T16:39:41Z
9,125,160,4,2022-02-19T21:53:09Z
10,93,81,6,2022-02-12T08:43:24Z
11,355,135,20,2022-03-22T14:54:00Z
12,174,154,16,2021-11-10T17:46:10Z
13,39,24,4,2021-11-13T15:31:05Z
14,59,96,10,2022-01-31T04:20:17Z
15,48,98,2,2018-12-12T13:29:46Z
16,130,199,35,2022-03-23T12:47:36Z
17,44,103,2,2021-05-13T05:44:13Z
18,105,184,18,2022-02-09T20:15:11Z
19,515,751,95,
20,38,73,2,2021-09-03T15:59:32Z
21,45,108,6,2018-12-02T08:43:09Z
22,81,12,2,
23,72,90,2,
24,23,12,2,
25,30,24,2,
26,95,17,2,
27,182,207,2,2022-03-22T02:37:27Z
28,81,231,6,
29,1409,339,55,
30,420,22,2,
31,47,67,2,2020-05-03T08:42:40Z
32,90,206,2,
33,94,244,10,
34,188,14,2,
35,132,13,2,
36,150,12,2,
37,45,175,2,
38,65,108,18,2022-03-30T13:37:35Z
39,40,150,15,
40,115,150,25,2022-03-23T08:22:50Z
41,41,129,7,
42,85,154,7,2022-02-28T19:02:59Z
43,173,157,39,2022-02-23T21:43:46Z
44,71,121,2,2021-12-05T05:27:13Z
45,71,118,2,2022-02-09T18:09:22Z
46,79,121,2,2022-03-06T12:22:16Z
47,338,271,79,2022-03-06T05:56:11Z
48,128,140,44,2021-08-23T16:17:40Z
49,137,147,15,2021-12-15T10:07:17Z
50,56,97,2,2021-07-22T05:46:32Z
51,102,120,11,2022-03-16T23:44:39Z
52,522,239,55,2021-08-25T11:18:43Z
53,287,241,50,2022-01-24T23:32:11Z
54,797,281,185,2022-03-31T07:19:15Z
55,72,94,14,2022-03-08T18:01:48Z
56,316,269,58,2022-03-14T04:58:34Z
57,98,128,23,2022-02-23T15:19:16Z
58,48,72,4,2022-03-13T14:48:14Z
59,100,166,14,2022-02-14T15:29:14Z
60,44,57,10,2022-04-02T00:21:43Z
61,55,100,2,2021-10-16T23:55:28Z
62,72,156,10,2022-03-30T02:18:51Z
63,57,109,2,2021-11-01T17:31:57Z
64,107,194,28,2022-02-25T15:44:55Z
65,69,114,6,2022-02-01T20:24:12Z
66,142,205,18,2022-04-01T07:38:33Z
67,167,211,8,2022-03-06T02:43:02Z
68,179,178,17,2022-03-13T15:44:46Z
69,373,194,113,2022-02-16T11:24:08Z
70,40,97,2,2021-08-19T02:09:38Z
71,69,101,2,2022-02-01T10:54:52Z
72,47,71,4,2022-03-03T10:31:14Z
73,105,116,14,2022-02-04T20:36:55Z
74,126,146,20,2020-02-04T19:41:48Z
75,51,25,8,2022-03-04T11:02:47Z
76,28,111,7,
77,59,60,8,2021-03-04T17:48:13Z
78,83,110,22,2022-02-23T22:22:48Z
79,369,100,70,2022-03-29T14:32:11Z
80,47,57,2,2018-02-20T20:18:30Z
81,68,156,18,2021-09-28T07:13:23Z
82,103,155,17,2022-04-02T00:50:45Z
83,52,111,4,2021-01-17T23:09:37Z
84,43,30,2,2022-03-06T08:24:37Z
85,150,115,8,2021-09-25T06:21:56Z
86,58,45,2,2022-04-02T00:17:55Z
87,87,214,13,2021-12-17T14:11:37Z
88,54,48,6,2022-02-24T03:20:04Z
89,79,110,6,2022-02-08T03:46:12Z
90,24,84,7,
91,75,96,7,2021-08-20T15:10:52Z
92,101,120,11,2022-03-16T23:44:39Z
93,46,91,4,2021-09-07T08:18:38Z
94,40,30,2,2019-12-11T13:27:41Z
95,252,220,46,2022-03-16T14:45:53Z
96,165,107,16,2022-03-07T17:39:28Z
97,326,93,15,2022-01-27T21:22:58Z
98,50,88,2,2021-07-10T14:13:07Z
