word,frequency,rank
the,580,1982.0
of,438,1981.0
a,301,1980.0
in,263,1979.0
to,252,1978.0
is,243,1977.0
that,216,1976.0
and,208,1975.0
frequency,155,1974.0
for,137,1973.0
word,135,1972.0
this,128,1971.0
law,120,1970.0
words,109,1969.0
distribution,107,1968.0
s,92,1967.0
are,91,1966.0
be,87,1965.0
it,82,1964.0
zipf,81,1963.0
by,78,1962.0
language,74,1961.0
not,73,1960.0
frequencies,68,1959.0
on,65,1958.0
from,63,1957.0
zipfian,62,1956.0
these,58,1955.0
with,54,1954.0
see,52,1953.0
distributions,50,1952.0
we,46,1951.0
an,45,1950.0
have,41,1948.5
or,41,1948.5
other,39,1947.0
meaning,38,1945.5
as,38,1945.5
how,36,1943.5
such,36,1943.5
rank,34,1942.0
any,33,1940.5
fit,33,1940.5
has,32,1939.0
like,31,1938.0
models,30,1935.5
near,30,1935.5
power,30,1935.5
many,30,1935.5
model,29,1930.0
even,29,1930.0
e,29,1930.0
should,29,1930.0
they,29,1930.0
about,29,1930.0
can,29,1930.0
r,28,1925.0
all,28,1925.0
more,28,1925.0
at,27,1922.5
will,27,1922.5
simple,26,1918.0
random,26,1918.0
eq,26,1918.0
but,26,1918.0
i,26,1918.0
most,26,1918.0
each,26,1918.0
across,25,1912.0
general,25,1912.0
explain,25,1912.0
plot,25,1912.0
some,25,1912.0
what,24,1908.0
accounts,24,1908.0
also,24,1908.0
very,23,1904.5
there,23,1904.5
one,23,1904.5
human,23,1904.5
data,22,1901.0
g,22,1901.0
which,22,1901.0
may,21,1897.0
if,21,1897.0
so,21,1897.0
observed,21,1897.0
shows,21,1897.0
been,20,1892.0
semantic,20,1892.0
number,20,1892.0
do,20,1892.0
their,20,1892.0
fig,19,1889.0
because,18,1883.0
since,18,1883.0
assumptions,18,1883.0
ferrer,18,1883.0
languages,18,1883.0
etc,18,1883.0
would,18,1883.0
cancho,18,1883.0
account,18,1883.0
theories,18,1883.0
frequent,18,1883.0
properties,17,1874.5
its,17,1874.5
than,17,1874.5
theory,17,1874.5
meanings,17,1874.5
laws,17,1874.5
text,16,1866.0
then,16,1866.0
however,16,1866.0
typing,16,1866.0
empirical,16,1866.0
corpus,16,1866.0
log,16,1866.0
processes,16,1866.0
where,16,1866.0
might,16,1866.0
categories,16,1866.0
facts,15,1857.0
follow,15,1857.0
explanations,15,1857.0
must,15,1857.0
no,15,1857.0
instance,15,1857.0
work,15,1857.0
independent,14,1847.0
novel,14,1847.0
explanation,14,1847.0
statistical,14,1847.0
could,14,1847.0
f,14,1847.0
fact,14,1847.0
likely,14,1847.0
phenomena,14,1847.0
use,14,1847.0
occur,14,1847.0
two,14,1847.0
holds,14,1847.0
only,13,1833.0
communicative,13,1833.0
constrained,13,1833.0
normal,13,1833.0
into,13,1833.0
important,13,1833.0
much,13,1833.0
based,13,1833.0
perhaps,13,1833.0
semantics,13,1833.0
same,13,1833.0
structure,13,1833.0
according,13,1833.0
systems,13,1833.0
true,13,1833.0
mandelbrot,12,1819.5
real,12,1819.5
mechanisms,12,1819.5
b,12,1819.5
between,12,1819.5
al,12,1819.5
used,12,1819.5
rise,12,1819.5
fixed,12,1819.5
particular,12,1819.5
does,12,1819.5
et,12,1819.5
why,11,1805.5
manin,11,1805.5
relationship,11,1805.5
was,11,1805.5
object,11,1805.5
syntactic,11,1805.5
show,11,1805.5
several,11,1805.5
influences,11,1805.5
given,11,1805.5
different,11,1805.5
content,11,1805.5
section,11,1805.5
plots,11,1805.5
p,11,1805.5
picture,11,1805.5
memory,10,1784.5
occurs,10,1784.5
α,10,1784.5
name,10,1784.5
over,10,1784.5
c,10,1784.5
approximately,10,1784.5
figure,10,1784.5
stochastic,10,1784.5
curve,10,1784.5
subjects,10,1784.5
jpg,10,1784.5
complex,10,1784.5
information,10,1784.5
illustration,10,1784.5
evidence,10,1784.5
whether,10,1784.5
using,10,1784.5
external,10,1784.5
were,10,1784.5
file,10,1784.5
d,10,1784.5
result,10,1784.5
process,10,1784.5
probability,10,1784.5
psychological,10,1784.5
point,9,1758.5
reviewed,9,1758.5
w,9,1758.5
solé,9,1758.5
well,9,1758.5
optimization,9,1758.5
nihmsf,9,1758.5
shown,9,1758.5
first,9,1758.5
almost,9,1758.5
clear,9,1758.5
time,9,1758.5
argued,9,1758.5
although,9,1758.5
means,9,1758.5
indeed,9,1758.5
interesting,9,1758.5
production,9,1758.5
world,9,1758.5
range,9,1758.5
none,9,1758.5
line,9,1758.5
strongly,9,1758.5
people,9,1758.5
change,9,1758.5
off,9,1758.5
universal,8,1730.0
